Name,Type
Lime Creek,Chondrite
Limerick,Iron
Lincoln County,Chondrite
Linum,Chondrite
Linwood,Chondrite
Lipovsky,Iron
Lissa,Pallasite
LIttle Harquahala Mountains,Chondrite
Little Piney,Chondrite
Little River ,Chondrite
Little Spring Creek,Chondrite
Livingston ,Chondrite
Lixna,Iron
Llano River,Chondrite
Lockney,Iron
Locust Grove,Chondrite
Lodran,Iron
Logan,Achondrite
Lombard,Chondrite
Lonaconing,Iron
Lone Star,Iron
Lone Tree,Chondrite
Long Island,Chondrite
Loomis,Chondrite
Loongana,Chondrite
Loop,Chondrite
Loop ,Chondrite
Lorenzo,Chondrite
Loreto,Chondrite
Los Angeles,Iron
Los Lunas,Martian
Los Reyes,Achondrite
Los Vientos,Chondrite
Lost City,Achondrite
Lost Creek,Iron
Losttown,Chondrite
Łowicz,Chondrite
Lua,Iron
Lubbock,Mesosiderite
Lucé,Chondrite
Lucerne Valley,Chondrite
Lueders,Chondrite
Luis Lopez,Chondrite
Lujan,Iron
Lumpkin,Iron
Lundsgard,Iron
Luotolax,Chondrite
Luponnas,Chondrite
Lushton,Achondrite
Lusk,Chondrite
Macau,Chondrite
Macibini,Iron
Macy,Chondrite
Madoc,Achondrite
Madrid,Chondrite
Magura,Iron
Mainz,Chondrite
Malakal,Iron
Malotas,Chondrite
Maltahöhe,Chondrite
Manbhoom,Chondrite
Manegaon,Iron
Mangwendi,Chondrite
Manitouwabing,Achondrite
Manych,Chondrite
Mapleton,Iron
Maralinga,Chondrite
Marburg,Iron
Maria Elena ,Chondrite
Maribo,Pallasite
Maricopa,Iron
Maridi,Chondrite
Marilia,Chondrite
Marion ,Chondrite
Marjalahti,Chondrite
Marlow,Chondrite
Marshall County,Pallasite
Marsland,Chondrite
Mart,Iron
Maslyanino,Chondrite
Mässing,Iron
Mauerkirchen,Iron
Mayday,Achondrite
Mayfield,Chondrite
Mayo Belwa,Chondrite
Mayodan,Chondrite
Mazapil,Achondrite
Maziba,Iron
Mbale,Iron
Mbosi,Chondrite
McAddo,Chondrite
McCook,Iron
McCracken,Chondrite
McKenzie Draw ,Chondrite
McKinney,Chondrite
McLean,Chondrite
Mejillones,Chondrite
Melrose ,Chondrite
Melvern Lake,Iron
Menow,Chondrite
Merceditas,Chondrite
Mereta,Chondrite
Merua,Iron
Metsäkylä,Chondrite
Mezö-Madaras,Chondrite
Miami,Chondrite
Mifflin,Chondrite
Mighei,Chondrite
Milena,Chondrite
Miles,Chondrite
Millbillillie,Chondrite
Miller ,Iron
Mills,Chondrite
Milly Milly,Chondrite
Milton,Chondrite
Minas Gerais,Iron
Mincy,Pallasite
Minnesota ,Chondrite
Misshof,Iron
Mission,Chondrite
Misteca,Chondrite
Moapa Valley,Chondrite
Mocs,Iron
Moctezuma,Chondrite
Modoc ,Chondrite
Mohave Mountains,Chondrite
Mohawk,Chondrite
Mokoia,Chondrite
Molina,Iron
Molong,Chondrite
Monahans ,Chondrite
Monroe,Iron
Monte Milone,Chondrite
Monturaqui,Chondrite
Monze,Chondrite
Moorabie,Iron
Moore County,Chondrite
Mooresfort,Chondrite
Moradabad,Achondrite
Morasko,Chondrite
Moriarty,Chondrite
Morito,Iron
Morland,Chondrite
Morradal,Iron
Morrill,Chondrite
Morristown,Iron
Morton,Iron
Mosca,Mesosiderite
Moss,Chondrite
Mossgiel,Chondrite
Moti-ka-nagla,Chondrite
Motta di Conti,Chondrite
Mount Ayliff,Chondrite
Mount Baldr ,Chondrite
Mount Blanco,Iron
Mount Browne,Chondrite
Mount Dooling,Chondrite
Mount Dyrring,Chondrite
Mount Edith,Iron
Mount Egerton,Pallasite
Mount Joy,Iron
Mount Magnet,Achondrite
Mount Morris ,Iron
Mount Ouray,Iron
Mount Padbury,Iron
Mount Tazerzait,Iron
Mount Vernon,Mesosiderite
Mreïra,Chondrite
Muckera,Pallasite
Muddoor,Chondrite
Mukundpura,Achondrite
Mulberry Draw,Chondrite
Muleshoe,Chondrite
Mulga ,Chondrite
Mundrabilla,Chondrite
Mungindi,Chondrite
Muonionalusta,Iron
Murchison,Iron
Muroc,Iron
Muroc Dry Lake,Chondrite
Murphy,Chondrite
Murray,Chondrite
Muslyumovo,Iron
N'Goureyma,Chondrite
N'Kandhla,Chondrite
Nagaria,Iron
Nagy-Borové,Iron
Nakhla,Achondrite
Nakhon Pathom,Chondrite
Nammianthal,Martian
Nanjemoy,Chondrite
Nantan,Chondrite
Naoki,Chondrite
Naragh,Iron
Nardoo ,Chondrite
Narraburra,Chondrite
Naryilco,Chondrite
Näs,Iron
Nashville ,Chondrite
Navajo,Iron
Nazareth ,Chondrite
Needles,Chondrite
Neenach,Iron
Nejo,Iron
Nelson County,Chondrite
Nenntmannsdorf,Chondrite
Nerft,Iron
Ness County ,Iron
Netschaëvo,Chondrite
New Almelo,Chondrite
New Baltimore,Iron
New Concord,Chondrite
New Leipzig,Iron
New Mexico,Chondrite
New Orleans,Iron
New Raymer,Iron
Newport,Chondrite
Newsom,Chondrite
Nikolskoe,Pallasite
Nkayi,Chondrite
Nobleborough,Chondrite
Noblesville,Chondrite
Nocoleche,Achondrite
Nogoya,Chondrite
Norcateur,Iron
Nordheim,Chondrite
Norfolk,Chondrite
Norfork,Iron
North Chile,Iron
North Chile ,Iron
North Haig,Iron
Northwest Africa,Iron
Northwest africa,Chondrite
Norton County,Achondrite
Nothing,Chondrite
Novo-Urei,Achondrite
Noyan-Bogdo,Achondrite
Nuevo Mercurio,Iron
Nulles,Chondrite
O'Donnell,Achondrite
Oakley ,Chondrite
Oberlin,Chondrite
Obernkirchen,Martian
Ocate,Achondrite
Ochansk,Achondrite
Ocotillo,Iron
Octave Mine,Achondrite
Odessa ,Chondrite
Oesel,Chondrite
Ogallala,Chondrite
Ohaba,Chondrite
Ojuelos Altos,Iron
Okano,Iron
Okechobee,Chondrite
Okniny,Iron
Oktibbeha County,Chondrite
Old Homestead,Iron
Oldman Mountain,Iron
Olivenza,Chondrite
Oliver,Chondrite
Olmedilla de Alarcón,Iron
Orange River ,Chondrite
Orgueil,Chondrite
Orimattila,Iron
Orlovka,Chondrite
Ornans,Chondrite
Oroville,Iron
Orvinio,Achondrite
Osceola,Chondrite
Oscuro Mountains,Chondrite
Osseo,Chondrite
Oteroy,Chondrite
Otinapa,Iron
Otis,Chondrite
Ottawa,Chondrite
Ouadangou,Chondrite
Oubari,Chondrite
Oued Bourdim,Iron
Oum Dreyga,Chondrite
Ourique,Chondrite
Ouzina,Iron
Overland Park,Iron
Ovid,Chondrite
Ovid ,Pallasite
Owasco,Chondrite
Owens Valley,Chondrite
Ozona,Chondrite
Ozren,Chondrite
Pacula,Pallasite
Padvarninkai,Chondrite
Page City,Chondrite
Palo Blanco Creek,Chondrite
Palo Verde Mine,Chondrite
Paloduro,Chondrite
Pampa ,Chondrite
Pampa Providencia,Chondrite
Panhandle,Iron
Pantar,Chondrite
Paposo,Achondrite
Para de Minas,Iron
Paragould,Achondrite
Parambu,Chondrite
Paranaiba,Iron
Park,Chondrite
Park Forest,Chondrite
Parker,Chondrite
Parnallee,Iron
Pasamonte,Chondrite
Patos de Mina ,Chondrite
Patrimonio,Chondrite
Patwar,Iron
Pavlograd,Chondrite
Pavlovka,Chondrite
Paymaster Mine,Chondrite
Peace River,Chondrite
Peck's Spring,Chondrite
Peckelsheim,Chondrite
Pedernales,Chondrite
Peekskill,Achondrite
Peetz,Iron
Peña Blanca Spring,Chondrite
Peramiho,Mesosiderite
Perpeti,Chondrite
Perryton,Achondrite
Perryville,Chondrite
Pervomaisky,Chondrite
Pesyanoe,Chondrite
Petersburg,Achondrite
Pevensey,Iron
Phillips County ,Chondrite
Phum Sambo,Chondrite
Picacho,Achondrite
Pickens County,Achondrite
Pierceville ,Chondrite
Pillistfer,Iron
Pine Bluffs,Chondrite
Pine River,Achondrite
Pinnaroo,Achondrite
Piñon,Chondrite
Pinto Mountains,Pallasite
Pipe Creek,Chondrite
Pittsburg,Iron
Plains,Chondrite
Plainview ,Iron
Plantersville,Chondrite
Pleasanton,Iron
Plymouth,Mesosiderite
Pohlitz,Iron
Polujamki,Chondrite
Portales ,Chondrite
Portales Valley,Iron
Potter,Chondrite
Prairie Dog Creek,Chondrite
Pricetown,Chondrite
Primm,Chondrite
Puente del Zacate,Chondrite
Puente-Ladron,Chondrite
Puerto Lápice,Iron
Puerto Libertad,Chondrite
Pultusk,Chondrite
Puquios,Chondrite
Purmela,Chondrite
Putinga,Chondrite
Putnam County,Chondrite
Qidong,Chondrite
Quartz Mountain,Chondrite
Quartzsite,Iron
Quebrada Chimborazo,Chondrite
Queen's Mercy,Achondrite
Quenggouk,Chondrite
Queretaro,Chondrite
Quijingue,Iron
Quinn Canyon,Iron
Raco,Chondrite
Rakovka,Iron
Ramsdorf,Chondrite
Ranchapur,Iron
Rancho Blanco,Chondrite
Rancho de la Pila ,Chondrite
Rancho de la Presa,Chondrite
Rancho Gomelia,Chondrite
Rancho Gomelia ,Chondrite
Rangala,Pallasite
Ransom,Iron
Rawlinna,Chondrite
Red Canyon Lake,Chondrite
Red Dry Lake,Chondrite
Red River,Iron
Redfields,Chondrite
Reed City,Iron
Reid,Iron
Reliegos,Chondrite
Renazzo,Chondrite
Renfrow,Pallasite
Renqiu,Chondrite
Republican River,Chondrite
Rhineland,Chondrite
Rica Aventura,Chondrite
Rich Mountain,Iron
Richardton,Iron
Richfield,Iron
Richland,Achondrite
Richmond,Chondrite
Rifle,Chondrite
Rio Limay,Chondrite
Roach,Chondrite
Rochester,Chondrite
Rock Creek,Chondrite
Roda,Iron
Rodeo,Chondrite
Roebourne,Chondrite
Rolla ,Chondrite
Romero,Chondrite
Roosevelt,Chondrite
Roosevelt County,Chondrite
Rosamond Dry Lake,Chondrite
Rosario,Chondrite
Rose City,Chondrite
Rosebud,Chondrite
Roundup,Chondrite
Rowena,Chondrite
Roy ,Chondrite
Ruff's Mountain,Chondrite
Rupota,Chondrite
Rush County,Chondrite
Rush Creek,Chondrite
Russel Gulch,Iron
Sacramento Mountains,Chondrite
Sacramento Wash,Chondrite
Sahara,Chondrite
Saint-Séverin,Chondrite
Salaices,Chondrite
Salaices ,Chondrite
Salar de Imilac,Chondrite
Salina,Chondrite
Saline,Chondrite
Salla,Chondrite
Salles,Chondrite
Salt River,Mesosiderite
Sam's Valley,Unknown
Samelia,Achondrite
San Angelo,Chondrite
San Carlos,Chondrite
San Cristobal,Chondrite
San Emigdio,Chondrite
San Francisco Mountains,Iron
San Juan de Ocotán,Chondrite
San Pedro de Urabá,Chondrite
Sanderson,Chondrite
Sandia Mountains,Iron
Sandtown,Iron
Santa Apolonia,Iron
Santa Catharina,Iron
Santa Clara,Chondrite
Santa Cruz,Iron
Santa Luzia,Chondrite
Santa Rosa,Iron
Santa Rosalia,Chondrite
Santa Vitoria do Palmar,Chondrite
Santiago Papasquiero,Iron
Santo Antônio do Descoberto,Iron
Sao João Nepomuceno,Iron
Sao Julião de Moreira,Iron
Saratov,Iron
Sarepta,Iron
Sauceda de la Borda,Chondrite
Sauguis,Iron
Sayh al Uhaymir,Iron
Schönenberg,Iron
Schwetz,Chondrite
Scott City,Iron
Scottsville,Iron
Scurry,Achondrite
Seagraves ,Chondrite
Searsmont,Chondrite
Seelasgen,Achondrite
Seemore Downs,Achondrite
Segowlie,Achondrite
Seguin,Achondrite
Seibert ,Chondrite
Seligman,Iron
Selma,Chondrite
Semarkona,Iron
Seminole,Chondrite
Seminole ,Chondrite
Sena,Chondrite
Seneca,Iron
Seneca Falls,Chondrite
Seneca Township,Chondrite
Seoni,Chondrite
Seres,Chondrite
Sericho,Iron
Serra de Magé,Chondrite
Serra Pelada,Chondrite
Seth Ward,Chondrite
Sevilla,Chondrite
Sevrukovo,Chondrite
Seymchan,Chondrite
Shafter Lake,Chondrite
Shalka,Iron
Shallowater,Iron
Shaw,Chondrite
Shawnee,Chondrite
Shelburne,Pallasite
Shergotty,Achondrite
Shields,Achondrite
Shingle Springs,Chondrite
Shirahagi,Chondrite
Shisr,Chondrite
Shrewsbury,Pallasite
Shytal,Chondrite
Sidney,Achondrite
Siena,Achondrite
Sierra Colorada,Chondrite
Sierra County,Iron
Sikhote-Alin,Chondrite
Silver Bell,Martian
Silver Crown,Achondrite
Silverton ,Chondrite
Simbirsk ,Iron
Simmern,Iron
Simondium,Achondrite
Sindhri,Iron
Sioux County,Chondrite
Ski,Chondrite
Skookum ,Chondrite
Slavetic,Chondrite
Sleeper Camp,Iron
Slobodka,Iron
Slovak,Iron
Smith Center,Chondrite
Smith's Mountain,Chondrite
Smithland,Chondrite
Smithonia,Mesosiderite
Smithville,Chondrite
Smithville ,Achondrite
Snyder,Chondrite
Snyder Hill,Iron
Social Circle,Iron
Soko-Banja,Chondrite
Sombrerete,Chondrite
Somesbar,Chondrite
Songyuan,Chondrite
Soper,Chondrite
South Bend,Iron
South Byron,Iron
South Oman,Iron
Southern Arizona,Iron
Spade,Iron
Spearman,Chondrite
Springer,Chondrite
Springfield,Iron
Springlake,Chondrite
Springwater,Iron
Squaw Creek,Chondrite
St. Ann,Chondrite
St. Denis Westrem,Iron
St. Francois County,Pallasite
St. Genevieve County,Iron
St. Germain-du-Pinel,Chondrite
St. Lawrence,Iron
St. Louis,Chondrite
St. Mark's,Iron
St. Mesmin,Chondrite
St. Michel,Chondrite
St. Peter,Chondrite
Stalldalen,Pallasite
Stannern,Iron
Starvation Flat,Chondrite
Statesboro,Chondrite
Staunton,Iron
Stavropol,Iron
Steinbach,Chondrite
Sterley,Chondrite
Sterlitamak,Chondrite
Stoneham,Chondrite
Stonington,Chondrite
Sublette,Chondrite
Suizhou,Chondrite
Sulagiri,Chondrite
Sultanpur,Achondrite
Summerfield,Chondrite
Supuhee,Chondrite
Surprise Springs,Iron
Sutter's Mill,Chondrite
Sutton,Iron
Suwanee Spring,Pallasite
Tabarz,Iron
Tabor,Chondrite
Tadjera,Chondrite
Tafassasset,Chondrite
Tagish Lake,Chondrite
Tagounite,Chondrite
Taiban,Chondrite
Taiban ,Chondrite
Takenouchi,Chondrite
Talampaya,Iron
Talpa,Chondrite
Tamarugal,Chondrite
Tambo Quemado,Chondrite
Tamdakht,Iron
Tamentit,Chondrite
Tank Mountains,Chondrite
Tarkak,Chondrite
Tatahouine,Chondrite
Tauk,Iron
Tawallah Valley,Chondrite
Tazewell,Chondrite
Tell,Chondrite
Temple,Achondrite
Temple Bar,Chondrite
Tenham,Iron
Tennasilm,Iron
Ternera ,Chondrite
Texline,Iron
Thiel Mountains,Chondrite
Thika,Iron
Thuathe,Achondrite
Thule,Chondrite
Thumrayt,Iron
Thunda,Iron
Tiberrhamine,Chondrite
Tierra Blanca,Chondrite
Tilden,Chondrite
Timmersoi,Chondrite
Timochin,Chondrite
Tinnie,Iron
Tirhert,Chondrite
Tirupati,Pallasite
Tishomingo,Chondrite
Tissint,Chondrite
Tjabe,Iron
Tjerebon,Pallasite
Tlacotepec,Iron
Tobe,Chondrite
Tokio ,Achondrite
Toluca,Chondrite
Toluca ,Chondrite
Tomakovka,Achondrite
Tomatlan,Chondrite
Tombigbee River,Iron
Tomhannock Creek,Martian
Tonganoxie,Achondrite
Torrington,Chondrite
Toubil River,Chondrite
Toulon,Iron
Toulouse,Chondrite
Tourinnes-la-Grosse,Chondrite
Travis County ,Iron
Trenton,Iron
Trenzano,Iron
Tres Castillos,Iron
Treysa,Chondrite
Trilby Wash,Chondrite
Troup,Iron
Truckton,Chondrite
Tryon,Iron
Trysil,Chondrite
Tsarev,Iron
Tucson,Chondrite
Tulia ,Chondrite
Turtle Lake,Chondrite
Turtle River,Chondrite
Tuxtuac,Iron
Twentynine Palms,Chondrite
Two Buttes ,Iron
Twodot,Chondrite
Tysnes Island,Chondrite
Uberaba,Chondrite
Ucera,Chondrite
Udei Station,Chondrite
Uden,Chondrite
Uegit,Iron
Ulysses,Chondrite
Um Habib,Chondrite
Umbarger,Iron
Umm Ruaba,Chondrite
Union County,Chondrite
Unter-Mässing,Chondrite
Uruachic,Chondrite
Uruaçu,Chondrite
Ute Creek,Chondrite
Utrecht,Chondrite
Uvalde,Chondrite
Uwet,Iron
Vaca Muerta,Chondrite
Valera,Iron
Valley Wells,Chondrite
Veevers,Chondrite
Vera,Chondrite
Veramin,Chondrite
Verkhne Udinsk,Iron
Verkhnyi Saltov,Iron
Vermillion,Iron
Vernon County,Iron
Vicência,Chondrite
Viedma,Chondrite
Vigarano,Chondrite
Villa Coronado,Iron
Villa Natamoros,Mesosiderite
Viñales,Chondrite
Vishnupur,Chondrite
Vouillé,Iron
Vulcan,Chondrite
Vyatka,Mesosiderite
Wabar,Iron
Wabar ,Iron
Waconda,Pallasite
Wagon Mound,Chondrite
Wairarapa Valley,Chondrite
Waka,Chondrite
Waldo,Chondrite
Waldron Ridge,Chondrite
Walker County,Chondrite
Wallapai,Chondrite
Walltown,Chondrite
Walters,Chondrite
Waltman,Chondrite
Warburton Range,Chondrite
Warden,Iron
Wardswell Draw,Iron
Warm Springs Wilderness,Chondrite
Warrenton,Chondrite
Washougal,Chondrite
Waterville,Chondrite
Watson,Chondrite
Wayside,Iron
Weatherford,Iron
Weaver Mountains,Chondrite
Weekeroo Station,Chondrite
Weldona,Chondrite
Welland,Iron
Wellington,Chondrite
Wellman ,Chondrite
Wells,Achondrite
Wessely,Iron
West Forrest,Iron
West Point,Chondrite
West Reid,Chondrite
Western Arkansas,Chondrite
Weston,Iron
Whetstone Mountains,Iron
Whitecourt,Chondrite
Whitman,Iron
Wichita County,Chondrite
Wickenburg ,Chondrite
Wikieup,Chondrite
Wilburton,Chondrite
Wildara,Chondrite
Wiley,Chondrite
Willamette,Chondrite
Willard ,Chondrite
Willcox Playa,Iron
Williston,Chondrite
Willow Creek,Iron
Willowbar,Chondrite
Willowdale,Iron
Wilmot,Chondrite
Wiluna,Chondrite
Wimberley,Chondrite
Winner,Chondrite
Winona,Chondrite
Wittekrantz,Iron
Wold Cottage,Iron
Wolf Creek,Chondrite
Wolsey,Chondrite
Wonyulgunna,Mesosiderite
Wood's Mountain,Iron
Woodbine,Iron
Woodward County,Chondrite
Woolgorong,Chondrite
Wooramel,Chondrite
Wooster,Chondrite
Wray ,Iron
Wynella,Chondrite
Xining,Achondrite
Xiquipilco no.,Chondrite
Yamato,Chondrite
Yandama,Iron
Yanhuitlan,Iron
Yarle Lakes,Iron
Yarri,Iron
Yatoor,Chondrite
Yenberrie,Chondrite
Yilmia,Chondrite
Yocemento,Iron
Yonozu,Chondrite
York ,Chondrite
Yorktown ,Iron
Youanmi,Chondrite
Youndegin,Chondrite
Youndegin ,Iron
Ysleta,Chondrite
Yucca,Iron
Yurtuk,Chondrite
Zaborzika,Chondrite
Zacatecas ,Chondrite
Zaffra,Chondrite
Zag,Chondrite
Zag ,Iron
Zagami,Iron
Zagora,Iron
Zaisho,Iron
Zapaliname,Iron
Zaragoza,Chondrite
Zavid,Chondrite
Zebrak,Chondrite
Zemaitkiemis,Achondrite
Zenda,Chondrite
Zerhamra,Iron
Zhovtnevyi,Iron
Zmenj,Iron
Zomba,Chondrite
